system:index,dNBR,severity,.geo
137,0.07102520018815994,0,"{""type"":""Point"",""coordinates"":[150.52432364179705,-33.580390529212856]}"
138,0.02285534143447876,0,"{""type"":""Point"",""coordinates"":[150.476204113235,-33.77848697124001]}"
139,-6.70120120048523E-4,0,"{""type"":""Point"",""coordinates"":[150.32302137792408,-33.68645751566835]}"
140,0.03930698335170746,0,"{""type"":""Point"",""coordinates"":[150.26658395136977,-33.63699337013322]}"
141,0.00404493510723114,0,"{""type"":""Point"",""coordinates"":[150.61774637798982,-33.69652505979758]}"
142,0.06799431145191193,0,"{""type"":""Point"",""coordinates"":[150.1895651702556,-33.86968678546781]}"
143,-4.25189733505249E-4,0,"{""type"":""Point"",""coordinates"":[150.5604984337342,-33.749791043515465]}"
144,0.06566865742206573,0,"{""type"":""Point"",""coordinates"":[150.48273494625522,-33.867873056953066]}"
145,0.06816715002059937,0,"{""type"":""Point"",""coordinates"":[150.2097398284148,-33.826961362089804]}"
146,0.18182885646820068,0,"{""type"":""Point"",""coordinates"":[150.49894877302216,-33.37956380776051]}"
147,-0.005382120609283447,0,"{""type"":""Point"",""coordinates"":[150.6027569605634,-33.777292434877744]}"
148,0.012778356671333313,0,"{""type"":""Point"",""coordinates"":[150.21343845614473,-33.813950776129005]}"
149,0.21001823246479034,0,"{""type"":""Point"",""coordinates"":[150.48321799290014,-33.41671569156881]}"
150,0.25190865993499756,0,"{""type"":""Point"",""coordinates"":[150.41329748199632,-33.83335842707778]}"
151,0.14053283631801605,0,"{""type"":""Point"",""coordinates"":[150.26255807450488,-33.73402475429078]}"
152,0.10398299247026443,0,"{""type"":""Point"",""coordinates"":[150.19730713445216,-33.82560692489771]}"
153,0.01689787209033966,0,"{""type"":""Point"",""coordinates"":[150.21739224716117,-33.78570760304893]}"
154,0.1249929666519165,0,"{""type"":""Point"",""coordinates"":[150.4233130605504,-33.64018122418552]}"
155,-0.021423786878585815,0,"{""type"":""Point"",""coordinates"":[150.57869944704984,-33.865053367092194]}"
156,0.01525348424911499,0,"{""type"":""Point"",""coordinates"":[150.26948298836254,-33.679862341937444]}"
157,0.023804783821105957,0,"{""type"":""Point"",""coordinates"":[150.48513036166253,-33.63951232067077]}"
158,0.006584763526916504,0,"{""type"":""Point"",""coordinates"":[150.34588669888035,-33.71676866039246]}"
159,0.06735323369503021,0,"{""type"":""Point"",""coordinates"":[150.47595283070706,-33.43339570858449]}"
160,-0.005684763193130493,0,"{""type"":""Point"",""coordinates"":[150.56894542385953,-33.739428274873106]}"
161,0.03499123454093933,0,"{""type"":""Point"",""coordinates"":[150.56018482344052,-33.6982006861838]}"
162,0.2970672845840454,1,"{""type"":""Point"",""coordinates"":[150.25200077526594,-33.787486821850315]}"
163,-0.0072695910930633545,0,"{""type"":""Point"",""coordinates"":[150.45326628396734,-33.65326058022138]}"
164,0.16080735623836517,0,"{""type"":""Point"",""coordinates"":[150.3474026181488,-33.66711169836037]}"
165,0.03273037075996399,0,"{""type"":""Point"",""coordinates"":[150.27631927777193,-33.63814411769589]}"
166,0.01651160418987274,0,"{""type"":""Point"",""coordinates"":[150.50624420958775,-33.82511764724265]}"
167,0.06946393102407455,0,"{""type"":""Point"",""coordinates"":[150.33479254868473,-33.59697605823105]}"
168,0.1660991907119751,0,"{""type"":""Point"",""coordinates"":[150.24797079483054,-33.779620352613556]}"
169,0.018040567636489868,0,"{""type"":""Point"",""coordinates"":[150.31378784255918,-33.66929051302132]}"
170,0.2511996030807495,0,"{""type"":""Point"",""coordinates"":[150.38541399383635,-33.53493114243783]}"
171,0.013386636972427368,0,"{""type"":""Point"",""coordinates"":[150.3353946997504,-33.765537708224656]}"
172,0.03282245993614197,0,"{""type"":""Point"",""coordinates"":[150.4352676047978,-33.788087127380585]}"
173,0.005069419741630554,0,"{""type"":""Point"",""coordinates"":[150.4508075451533,-33.67859634043951]}"
174,0.11537659168243408,0,"{""type"":""Point"",""coordinates"":[150.2600033825831,-33.77908029053934]}"
175,-0.03505590930581093,0,"{""type"":""Point"",""coordinates"":[150.4312204949115,-33.71770835555741]}"
176,0.13593795895576477,0,"{""type"":""Point"",""coordinates"":[150.2770326631929,-33.83006611359548]}"
177,0.04038451611995697,0,"{""type"":""Point"",""coordinates"":[150.21941006574048,-33.78168812907986]}"
178,0.18508167564868927,0,"{""type"":""Point"",""coordinates"":[150.4286902515391,-33.86120425596237]}"
179,0.09194452315568924,0,"{""type"":""Point"",""coordinates"":[150.33126193629099,-33.54442826608658]}"
180,0.1642618179321289,0,"{""type"":""Point"",""coordinates"":[150.44108061004917,-33.48306056991945]}"
181,0.25822484493255615,0,"{""type"":""Point"",""coordinates"":[150.51329321149444,-33.59550249015564]}"
182,-0.09597831964492798,0,"{""type"":""Point"",""coordinates"":[150.2181299141541,-33.683353890818736]}"
183,-0.012203767895698547,0,"{""type"":""Point"",""coordinates"":[150.34797005862515,-33.71124446137531]}"
184,0.23135903477668762,0,"{""type"":""Point"",""coordinates"":[150.4175646489925,-33.77224251559646]}"
185,0.002857014536857605,0,"{""type"":""Point"",""coordinates"":[150.4247867054352,-33.6809753164367]}"
186,0.21166346967220306,0,"{""type"":""Point"",""coordinates"":[150.4394914707888,-33.51732746749186]}"
187,-0.017431437969207764,0,"{""type"":""Point"",""coordinates"":[150.4214281818482,-33.66790353250356]}"
188,-0.11857132613658905,0,"{""type"":""Point"",""coordinates"":[150.22938145098442,-33.76528029246896]}"
189,0.0637088418006897,0,"{""type"":""Point"",""coordinates"":[150.37972784490458,-33.53819789967214]}"
190,0.26701390743255615,0,"{""type"":""Point"",""coordinates"":[150.41181443624978,-33.54028874274858]}"
191,0.35721105337142944,1,"{""type"":""Point"",""coordinates"":[150.45464073190593,-33.60052056908559]}"
192,-0.03844010829925537,0,"{""type"":""Point"",""coordinates"":[150.61056300094722,-33.75590432301948]}"
193,0.027444586157798767,0,"{""type"":""Point"",""coordinates"":[150.60564505851508,-33.81440367076721]}"
194,0.015034079551696777,0,"{""type"":""Point"",""coordinates"":[150.36058670951007,-33.76405460409345]}"
195,0.23767614364624023,0,"{""type"":""Point"",""coordinates"":[150.46213258290382,-33.87943599973155]}"
196,0.0980517715215683,0,"{""type"":""Point"",""coordinates"":[150.48854403354594,-33.387890868197715]}"
197,0.12494698166847229,0,"{""type"":""Point"",""coordinates"":[150.46043801622037,-33.46829416524138]}"
198,-0.02586822211742401,0,"{""type"":""Point"",""coordinates"":[150.48529196214852,-33.738553481730136]}"
199,0.29957303404808044,1,"{""type"":""Point"",""coordinates"":[150.41367645951388,-33.60838777473582]}"
200,5.941092967987061E-4,0,"{""type"":""Point"",""coordinates"":[150.60321936164848,-33.711157613419225]}"
201,0.10599382221698761,0,"{""type"":""Point"",""coordinates"":[150.30692078929223,-33.60945271982201]}"
202,0.040173567831516266,0,"{""type"":""Point"",""coordinates"":[150.30284270569953,-33.820680038913196]}"
203,0.10968136787414551,0,"{""type"":""Point"",""coordinates"":[150.4448017686604,-33.50256682361592]}"
204,-0.04267445206642151,0,"{""type"":""Point"",""coordinates"":[150.4444138939869,-33.651401090764885]}"
205,-0.009459380060434341,0,"{""type"":""Point"",""coordinates"":[150.61603472604952,-33.75656840822763]}"
